Time(Sec),TPS,TotalPacketCount
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,190,190
41,925,1115
42,1319,2434
43,3286,5720
44,3255,8975
45,3157,12132
46,2868,15000
47,0,15000
48,0,15000
49,0,15000
50,0,15000
51,3519,18519
52,5505,24024
53,5399,29423
54,577,30000
55,0,30000
56,0,30000
57,0,30000
58,0,30000
59,0,30000
60,0,30000
61,0,30000
62,0,30000
63,0,30000
64,0,30000
65,0,30000
66,0,30000
67,0,30000
68,0,30000
69,0,30000
70,0,30000
71,0,30000
72,0,30000
73,0,30000
74,0,30000
75,0,30000
76,0,30000
77,0,30000
78,0,30000
79,0,30000
80,0,30000
81,0,30000
82,0,30000
83,0,30000
84,0,30000
85,0,30000
86,0,30000
87,0,30000
88,0,30000
89,0,30000
90,0,30000
91,0,30000
92,0,30000
93,0,30000
94,0,30000
95,0,30000
96,0,30000
97,0,30000
98,0,30000
99,0,30000
100,0,30000
101,0,30000
102,0,30000
103,0,30000
104,0,30000
105,0,30000
106,0,30000
107,0,30000
108,0,30000
109,0,30000
110,0,30000
111,0,30000
112,0,30000
113,0,30000
114,0,30000
115,0,30000
116,0,30000
117,0,30000
118,0,30000
119,0,30000
120,0,30000
121,0,30000
122,0,30000
123,0,30000
124,0,30000
125,0,30000
126,0,30000
127,0,30000
128,0,30000
129,0,30000
130,0,30000
131,0,30000
132,0,30000
133,0,30000
134,0,30000
135,0,30000
136,0,30000
137,0,30000
138,0,30000
139,0,30000
140,0,30000
141,0,30000
142,0,30000
143,0,30000
144,0,30000
145,0,30000
146,0,30000
147,0,30000
148,0,30000
149,0,30000
150,0,30000
151,0,30000
152,0,30000
153,0,30000
154,0,30000
155,0,30000
156,0,30000
157,0,30000
158,0,30000
159,0,30000
160,0,30000
161,0,30000
162,0,30000
163,0,30000
164,0,30000
165,0,30000
166,0,30000
167,0,30000
168,0,30000
169,0,30000
170,0,30000
171,0,30000
172,0,30000
173,0,30000
174,0,30000
175,0,30000
176,0,30000
177,0,30000
178,0,30000
179,0,30000
180,0,30000
181,0,30000
182,0,30000
183,0,30000
